Image ID,Label,Defect Type
bruised_plum_1,defective,bruised
bruised_plum_2,defective,bruised
bruised_plum_3,defective,bruised
bruised_plum_4,defective,bruised
bruised_plum_5,defective,bruised
bruised_plum_6,defective,bruised
bruised_plum_7,defective,bruised
bruised_plum_8,defective,bruised
bruised_plum_9,defective,bruised
bruised_plum_10,defective,bruised
bruised_plum_11,defective,bruised
bruised_plum_12,defective,bruised
bruised_plum_13,defective,bruised
bruised_plum_14,defective,bruised
bruised_plum_15,defective,bruised
bruised_plum_16,defective,bruised
bruised_plum_17,defective,bruised
bruised_plum_18,defective,bruised
bruised_plum_19,defective,bruised
bruised_plum_20,defective,bruised
bruised_plum_21,defective,bruised
bruised_plum_22,defective,bruised
bruised_plum_23,defective,bruised
bruised_plum_24,defective,bruised
bruised_plum_25,defective,bruised
bruised_plum_26,defective,bruised
bruised_plum_27,defective,bruised
bruised_plum_28,defective,bruised
bruised_plum_29,defective,bruised
bruised_plum_30,defective,bruised
bruised_plum_31,defective,bruised
bruised_plum_32,defective,bruised
bruised_plum_33,defective,bruised
bruised_plum_34,defective,bruised
bruised_plum_35,defective,bruised
bruised_plum_36,defective,bruised
bruised_plum_37,defective,bruised
bruised_plum_38,defective,bruised
bruised_plum_39,defective,bruised
bruised_plum_40,defective,bruised
bruised_plum_41,defective,bruised
bruised_plum_42,defective,bruised
bruised_plum_43,defective,bruised
bruised_plum_44,defective,bruised
bruised_plum_45,defective,bruised
bruised_plum_46,defective,bruised
bruised_plum_47,defective,bruised
bruised_plum_48,defective,bruised
bruised_plum_49,defective,bruised
bruised_plum_50,defective,bruised
bruised_plum_51,defective,bruised
bruised_plum_52,defective,bruised
bruised_plum_53,defective,bruised
bruised_plum_54,defective,bruised
bruised_plum_55,defective,bruised
bruised_plum_56,defective,bruised
bruised_plum_57,defective,bruised
bruised_plum_58,defective,bruised
bruised_plum_59,defective,bruised
bruised_plum_60,defective,bruised
bruised_plum_61,defective,bruised
bruised_plum_62,defective,bruised
bruised_plum_63,defective,bruised
bruised_plum_64,defective,bruised
bruised_plum_65,defective,bruised
bruised_plum_66,defective,bruised
bruised_plum_67,defective,bruised
bruised_plum_68,defective,bruised
bruised_plum_69,defective,bruised
bruised_plum_70,defective,bruised
bruised_plum_71,defective,bruised
bruised_plum_72,defective,bruised
bruised_plum_73,defective,bruised
bruised_plum_74,defective,bruised
bruised_plum_75,defective,bruised
bruised_plum_76,defective,bruised
bruised_plum_77,defective,bruised
bruised_plum_78,defective,bruised
bruised_plum_79,defective,bruised
bruised_plum_80,defective,bruised
bruised_plum_81,defective,bruised
bruised_plum_82,defective,bruised
bruised_plum_83,defective,bruised
bruised_plum_84,defective,bruised
bruised_plum_85,defective,bruised
bruised_plum_86,defective,bruised
bruised_plum_87,defective,bruised
bruised_plum_88,defective,bruised
bruised_plum_89,defective,bruised
bruised_plum_90,defective,bruised
bruised_plum_91,defective,bruised
bruised_plum_92,defective,bruised
bruised_plum_93,defective,bruised
bruised_plum_94,defective,bruised
bruised_plum_95,defective,bruised
bruised_plum_96,defective,bruised
bruised_plum_97,defective,bruised
bruised_plum_98,defective,bruised
bruised_plum_99,defective,bruised
bruised_plum_100,defective,bruised
bruised_plum_101,defective,bruised
bruised_plum_102,defective,bruised
bruised_plum_103,defective,bruised
bruised_plum_104,defective,bruised
bruised_plum_105,defective,bruised
bruised_plum_106,defective,bruised
bruised_plum_107,defective,bruised
bruised_plum_108,defective,bruised
bruised_plum_109,defective,bruised
bruised_plum_110,defective,bruised
bruised_plum_111,defective,bruised
bruised_plum_112,defective,bruised
bruised_plum_113,defective,bruised
bruised_plum_114,defective,bruised
bruised_plum_115,defective,bruised
bruised_plum_116,defective,bruised
bruised_plum_117,defective,bruised
bruised_plum_118,defective,bruised
bruised_plum_119,defective,bruised
bruised_plum_120,defective,bruised
bruised_plum_121,defective,bruised
bruised_plum_122,defective,bruised
bruised_plum_123,defective,bruised
bruised_plum_124,defective,bruised
bruised_plum_125,defective,bruised
bruised_plum_126,defective,bruised
bruised_plum_127,defective,bruised
bruised_plum_128,defective,bruised
bruised_plum_129,defective,bruised
bruised_plum_130,defective,bruised
bruised_plum_131,defective,bruised
bruised_plum_132,defective,bruised
bruised_plum_133,defective,bruised
bruised_plum_134,defective,bruised
bruised_plum_135,defective,bruised
bruised_plum_136,defective,bruised
bruised_plum_137,defective,bruised
bruised_plum_138,defective,bruised
bruised_plum_139,defective,bruised
bruised_plum_140,defective,bruised
bruised_plum_141,defective,bruised
bruised_plum_142,defective,bruised
bruised_plum_143,defective,bruised
bruised_plum_144,defective,bruised
bruised_plum_145,defective,bruised
bruised_plum_146,defective,bruised
bruised_plum_147,defective,bruised
bruised_plum_148,defective,bruised
bruised_plum_149,defective,bruised
bruised_plum_150,defective,bruised
bruised_plum_151,defective,bruised
bruised_plum_152,defective,bruised
bruised_plum_153,defective,bruised
bruised_plum_154,defective,bruised
bruised_plum_155,defective,bruised
bruised_plum_156,defective,bruised
bruised_plum_157,defective,bruised
bruised_plum_158,defective,bruised
bruised_plum_159,defective,bruised
bruised_plum_160,defective,bruised
bruised_plum_161,defective,bruised
bruised_plum_162,defective,bruised
bruised_plum_163,defective,bruised
bruised_plum_164,defective,bruised
bruised_plum_165,defective,bruised
bruised_plum_166,defective,bruised
bruised_plum_167,defective,bruised
bruised_plum_168,defective,bruised
bruised_plum_169,defective,bruised
bruised_plum_170,defective,bruised
bruised_plum_171,defective,bruised
bruised_plum_172,defective,bruised
bruised_plum_173,defective,bruised
bruised_plum_174,defective,bruised
bruised_plum_175,defective,bruised
bruised_plum_176,defective,bruised
bruised_plum_177,defective,bruised
bruised_plum_178,defective,bruised
bruised_plum_179,defective,bruised
bruised_plum_180,defective,bruised
bruised_plum_181,defective,bruised
bruised_plum_182,defective,bruised
bruised_plum_183,defective,bruised
bruised_plum_184,defective,bruised
bruised_plum_185,defective,bruised
bruised_plum_186,defective,bruised
bruised_plum_187,defective,bruised
bruised_plum_188,defective,bruised
bruised_plum_189,defective,bruised
bruised_plum_190,defective,bruised
bruised_plum_191,defective,bruised
bruised_plum_192,defective,bruised
bruised_plum_193,defective,bruised
bruised_plum_194,defective,bruised
bruised_plum_195,defective,bruised
bruised_plum_196,defective,bruised
bruised_plum_197,defective,bruised
bruised_plum_198,defective,bruised
bruised_plum_199,defective,bruised
bruised_plum_200,defective,bruised
bruised_plum_201,defective,bruised
bruised_plum_202,defective,bruised
bruised_plum_203,defective,bruised
bruised_plum_204,defective,bruised
bruised_plum_205,defective,bruised
bruised_plum_206,defective,bruised
bruised_plum_207,defective,bruised
bruised_plum_208,defective,bruised
bruised_plum_209,defective,bruised
bruised_plum_210,defective,bruised
bruised_plum_211,defective,bruised
bruised_plum_212,defective,bruised
bruised_plum_213,defective,bruised
bruised_plum_214,defective,bruised
bruised_plum_215,defective,bruised
bruised_plum_216,defective,bruised
bruised_plum_217,defective,bruised
bruised_plum_218,defective,bruised
bruised_plum_219,defective,bruised
bruised_plum_220,defective,bruised
bruised_plum_221,defective,bruised
bruised_plum_222,defective,bruised
bruised_plum_223,defective,bruised
bruised_plum_224,defective,bruised
bruised_plum_225,defective,bruised
bruised_plum_226,defective,bruised
bruised_plum_227,defective,bruised
bruised_plum_228,defective,bruised
bruised_plum_229,defective,bruised
bruised_plum_230,defective,bruised
bruised_plum_231,defective,bruised
bruised_plum_232,defective,bruised
bruised_plum_233,defective,bruised
bruised_plum_234,defective,bruised
bruised_plum_235,defective,bruised
bruised_plum_236,defective,bruised
bruised_plum_237,defective,bruised
bruised_plum_238,defective,bruised
bruised_plum_239,defective,bruised
bruised_plum_240,defective,bruised
bruised_plum_241,defective,bruised
bruised_plum_242,defective,bruised
bruised_plum_243,defective,bruised
bruised_plum_244,defective,bruised
bruised_plum_245,defective,bruised
bruised_plum_246,defective,bruised
bruised_plum_247,defective,bruised
bruised_plum_248,defective,bruised
bruised_plum_249,defective,bruised
bruised_plum_250,defective,bruised
bruised_plum_251,defective,bruised
bruised_plum_252,defective,bruised
bruised_plum_253,defective,bruised
bruised_plum_254,defective,bruised
bruised_plum_255,defective,bruised
bruised_plum_256,defective,bruised
bruised_plum_257,defective,bruised
bruised_plum_258,defective,bruised
bruised_plum_259,defective,bruised
bruised_plum_260,defective,bruised
bruised_plum_261,defective,bruised
bruised_plum_262,defective,bruised
bruised_plum_263,defective,bruised
bruised_plum_264,defective,bruised
bruised_plum_265,defective,bruised
bruised_plum_266,defective,bruised
bruised_plum_267,defective,bruised
bruised_plum_268,defective,bruised
bruised_plum_269,defective,bruised
bruised_plum_270,defective,bruised
bruised_plum_271,defective,bruised
bruised_plum_272,defective,bruised
